"ASIN","Product.Name","Brand","Price","Monthly.Units.Sold","Daily.Units.Sold","Monthly.Revenue","Date.First.Available","Net.Revenue","Star.Rating","Reviews","Amazon.Fees","BSR","LQS","Seller.Type","Sellers","Category","Product.Tier","Dimensions","Weight","Link"
"B00XQBHJOU","ASUTRA Yoga Mat Cleaner Spray (Peaceful Lavender), 4 fl oz - No Slippery Residue, Organic Essential Oils, Deep-Cleansing for Fitness Gear & Gym Equipment, Microfiber Towel Included","ASUTRA","$13.98","2,429","83","$33,957","05/15/2015","$6.99",4.5,"8,617","$6.99","2,572",7,"FBA",1,"Sports & Outdoors","Large standard","6.57 x 3.07 x 1.65 in","5.93 oz","https://www.amazon.com/dp/B00XQBHJOU?th=1&psc=1"
"B09P1GB319","CRZ YOGA Butterluxe High Waisted Lounge Legging 25' - Buttery Soft Workout Yoga Pants for Women","CRZ YOGA","$32.00","36,198","1,371","$1.16M","01/09/2024","$21.22",4.6,"11,855","$10.78","51",6,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","8.03 x 9.09 x 1.42 in","0.351 lb","https://www.amazon.com/dp/B09P1GB319?th=1&psc=1"
"B07G1R42MS","Gaiam Yoga Knee Pads (Set of 2) - Yoga Props and Accessories for Women/Men Cushions Knees and Elbows for Fitness, Travel, Meditation, Kneeling, Balance, Floor, Pilates","Gaiam","$14.23","1,809","71","$25,742","07/29/2018","$6.56",4.6,"2,533","$7.67","3,130",8,"AMZ",1,"Sports & Outdoors","Large standard","7.6 x 7.6 x 1 in","0.43 lb","https://www.amazon.com/dp/B07G1R42MS?th=1&psc=1"
"B08SMQ1QYV","10 Day Yoga for Weight Loss Challenge with Chelsey","","","","","","01/13/2021","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B08SMQ1QYV?th=1&psc=1"
"B01MQXU0AB","Yoga for Men's Health","","","","","","01/26/2021","",NA,"2","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B01MQXU0AB?th=1&psc=1"
"B0869DXL98","CRZ YOGA Pima Cotton Cropped Workout Tank Tops for Women - Sleeveless Sports Athletic Yoga Running Gym Crop Shirts","CRZ YOGA","$20.00","14,488","523","$289,760","07/20/2023","$10.64",4.4,"3,195","$9.36","725",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","9.016 x 11.339 x 1.339 in","0.154 lb","https://www.amazon.com/dp/B0869DXL98?th=1&psc=1"
"B07H9PDL2Y","Gaiam Essentials Thick Yoga Mat Fitness & Exercise Mat with Easy-Cinch Yoga Mat Carrier Strap, 72'L x 24'W x 2/5 Inch Thick","Gaiam","$21.98","24,189","912","$531,674","11/14/2018","$11.82",4.6,"42,827","$10.16","32",8,"AMZ",3,"Sports & Outdoors","Large standard","6.69 x 24.25 x 6.38 in","930 g","https://www.amazon.com/dp/B07H9PDL2Y?th=1&psc=1"
"B0DQHYKJND","2 Pack Hot Yoga Towel with Grip DotStickyfiber Yoga Mat Towels Non Slip for Hot Yoga,Absorbent Microfiber Sweat Anti-Slip Cover,Bikram,Pilates,Exercise,Fitness","CYCLXY","$27.97","3,612","126","$101,028","12/14/2024","$19.45",4.6,"81","$8.52","1,424",8,"FBA",1,"Sports & Outdoors","Small standard","7.32 x 9.92 x 3.78 in","0.4 lb","https://www.amazon.com/dp/B0DQHYKJND?th=1&psc=1"
"B0C6QBC9YJ","YeuG 4/6 Pairs Pilates Socks for Women - Non Slip Grip Socks for Yoga, Barre, Hospital, Barefoot","yeuG","$8.49","21,305","719","$180,879","05/31/2023","$2.85",4.6,"1,612","$5.64","348",5,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","3.98 x 9.41 x 1.57 in","0.351 lb","https://www.amazon.com/dp/B0C6QBC9YJ?th=1&psc=1"
"B0DP6D7PSF","COOLMATE Pilates Socks with Grips for Women, Yoga Socks, Crew Non Slip Women for Workout, Barre, Pilates Gifts","COOLMATE GLOBAL","$9.99","8,660","208","$86,513","03/31/2025","$7.20",4.7,"105","$7.79","3,914",9,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","6.69 x 8.27 x 0.87 in","0.399 lb","https://www.amazon.com/dp/B0DP6D7PSF?th=1&psc=1"
"B01IL7SKUU","Physical Massage Therapy Ball Set - Ideal for Yoga, Deep Tissue Massage, Trigger Point Therapy and Myofascial Release Physical Therapy Equipment","Acupoint","$14.95","3,187","119","$47,646","07/16/2016","$7.82",4.5,"5,045","$7.13","10,572",7,"FBA",1,"Health & Household","Large standard","2.5 x 2.5 x 2.5 in","7.04 oz","https://www.amazon.com/dp/B01IL7SKUU?th=1&psc=1"
"B01MRH1FSI","Yoga with Sound Meditations","","","","","","08/05/2019","",NA,"1","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B01MRH1FSI?th=1&psc=1"
"B07KLS28HL","Yoga for Beginners Deluxe Set: 8 Yoga Video Routines for Beginners. Includes Gentle Yoga Workouts to Increase Strength & Flexibility","Body Wisdom Media","$24.99","","","","01/25/2019","$16.92",4.3,"5,270","$8.07","3,026",5,"FBA",2,"Movies & TV","Small standard","7.44 x 5.35 x 0.55 in","6.38 oz","https://www.amazon.com/dp/B07KLS28HL?th=1&psc=1"
"B0C5M1YDKQ","5 Pcs Professional Resistance Bands. Latex-Free, Elastic Band, Work Out Bands, Stretch Bands for Working Out Women or Men, Exercise Bands Set for Physical Therapy, Yoga, Pilates","lianjindun","$11.99","29,909","871","$358,609","05/17/2023","$5.05",4.6,"2,836","$6.94","36",7,"FBA",1,"Sports & Outdoors","Large standard","5.669 x 6.417 x 1.417 in","0.198 lb","https://www.amazon.com/dp/B0C5M1YDKQ?th=1&psc=1"
